id,xdeal,ydeal
10000,409.2192219,636.2122458
10001,1000,152.2462485
10002,385.0661042,634.4866305
10003,407.9447425,635.5668048
10004,433.5755793,650.0842358
10005,966.9940893,214.398018
10012,383.6058049,666.5040501
10014,405.5859741,683.8935721
10015,398.9413822,699.823925
10018,428.2480729,566.8240664
10019,392.9790872,636.719877
10021,358.6350624,504.4984617
10022,398.0575126,641.7255039
10023,950.5871103,212.9439238
10026,478.9449314,891.8475631
10027,439.8921807,686.5678518
10032,768.0648787,493.0335914
10033,1000,152.2462485
10037,398.4395759,746.4802325
10041,404.2446898,720.1532961
10043,975.3094876,171.0543538
10045,410.9073976,651.8308669
10046,412.0789184,624.8469957
10049,440.41904,606.1023391
10050,962.1037918,174.563099
10051,439.6136001,684.237791
10053,428.7348697,635.2242623
10056,438.7225768,684.6011669
10058,403.4025518,616.3779437
10060,920.5261074,215.8018729
10062,1000,152.2462485
10068,942.808188,212.6651655
10070,1000,152.2462485
10077,383.4274089,497.3265143
10078,1000,152.2462485
10080,802.4088301,687.8853188
10081,408.6838236,598.2027574
10082,455.3458384,571.286653
10083,414.0340326,593.3624003
10084,448.5543342,680.90877
10085,411.9220826,699.7238933
10087,1000,152.2462485
10088,806.8538619,683.658578
10089,819.6659282,403.4479686
10090,402.8547691,720.6890288
10091,1000,152.2462485
10092,746.3184773,454.795552
10093,736.3249247,526.400969
10094,454.741782,606.8113447
10095,877.7448792,156.4833725
10097,1000,152.2462485
10098,840.6667899,397.4696622
10101,383.3404838,692.6004773
10107,440.8730994,594.527382
10108,841.1746136,409.8360319
10109,713.3741734,545.9977113
10111,404.9438337,606.7911528
10112,783.5295301,700.7653297
10115,448.5227068,816.1828134
10117,384.7109102,688.580299
10118,905.7011077,151.2961597
10121,447.9923519,731.0745156
10123,375.8406523,644.7258691
10126,1000,152.2462485
10127,411.773982,823.4648155
10134,420.6734244,696.4135453
10135,788.7669123,694.6485635
10136,401.439083,700.3852264
10137,441.1197728,659.428027
10141,466.2060535,614.4798053
10142,732.5348659,535.5109942
10143,414.7325513,621.8413398
10145,504.0036701,267.3441535
10146,385.0292249,636.1370095
10147,406.8641562,594.7309454
10148,1000,152.2462485
10150,382.5796007,671.5705518
10151,407.7380608,693.4946329
10152,450.6429582,689.0823887
10155,680.8709003,789.5131208
10157,781.534023,510.6378084
10160,658.7174218,220.2175625
10161,823.7369051,404.4448334
10162,330.7423199,542.5781963
10163,319.224001,430.4503573
10164,275.7401254,706.4902028
10167,471.4109928,578.1433979
10170,475.3207482,777.4195487
10171,1000,152.2462485
10172,391.3898201,661.0693286
10173,799.4380231,422.6699131
10174,788.9834124,478.3788579
10175,1000,152.2462485
10178,465.0787837,659.8301367
10181,396.0970821,616.3158824
10182,1000,152.2462485
10183,639.7500591,510.5353177
10185,451.745778,616.1575207
10186,749.4641832,480.5570405
10188,750.5287981,462.6744499
10190,907.0462078,232.0960326
10192,430.8496812,640.1231379
10193,396.8750608,636.9743633
10194,416.1604926,685.6517531
10196,266.4451698,707.0142529
10201,1000,152.2462485
10202,1000,152.2462485
