id,xdeal,ydeal,,,,
10000,0.18731679,0.540235829,,,,
10001,0.882353,0.002495832,,,,5.9E-08
10002,0.158901358,0.538318478,,,,0
10003,0.185817403,0.539518672,,,,
10004,0.215971329,0.555649151,,,,
10005,0.843522517,0.071553353,,,,
10012,0.157183359,0.573893389,,,,
10014,0.183042381,0.59321508,,,,
10015,0.175225214,0.610915472,,,,
10018,0.209703674,0.463137852,,,,
10019,0.16821075,0.540799863,,,,
10021,0.127806015,0.39388718,,,,
10022,0.174185368,0.546361671,,,,
10023,0.824220189,0.069937693,,,,
10026,0.269347037,0.82427507,,,,
10027,0.223402624,0.596186502,,,,
10032,0.609488151,0.381148435,,,,
10033,0.882353,0.002495832,,,,
10037,0.174634854,0.662755814,,,,
10041,0.1814644,0.633503662,,,,
10043,0.853305338,0.023393726,,,,
10045,0.18930288,0.557589852,,,,
10046,0.190681139,0.527607773,,,,
10049,0.224022459,0.506780377,,,,
10050,0.837769226,0.027292332,,,,
10051,0.223074882,0.593597546,,,,
10053,0.210276376,0.539138069,,,,
10056,0.22202662,0.594001297,,,,
10058,0.180473649,0.518197715,,,,
10060,0.788854303,0.073113192,,,,
10062,0.882353,0.002495832,,,,
10068,0.815068515,0.069627962,,,,
10070,0.882353,0.002495832,,,,
10077,0.156973481,0.385918349,,,,
10078,0.882353,0.002495832,,,,
10080,0.6498928,0.597650354,,,,
10081,0.18668691,0.498003064,,,,
10082,0.241583398,0.468096281,,,,
10083,0.192981274,0.492624889,,,,
10084,0.233593393,0.589898633,,,,
10085,0.190496627,0.610804326,,,,
10087,0.882353,0.002495832,,,,
10088,0.655122249,0.592953976,,,,
10089,0.670195268,0.281608854,,,,
10090,0.179829199,0.634098921,,,,
10091,0.882353,0.002495832,,,,
10092,0.58390415,0.338661724,,,,
10093,0.572147029,0.418223299,,,,
10094,0.240872744,0.507568161,,,,
10095,0.738523446,0.007203747,,,,
10097,0.882353,0.002495832,,,,
10098,0.694902165,0.274966291,,,,
10101,0.156871216,0.602889419,,,,
10107,0.224556646,0.493919313,,,,
10108,0.695499604,0.288706702,,,,
10109,0.545146145,0.439997457,,,,
10111,0.182286922,0.507545725,,,,
10112,0.627681859,0.611961477,,,,
10115,0.233556184,0.740203126,,,,
10117,0.158483483,0.598422554,,,,
10118,0.771413127,0.001440177,,,,
10121,0.232932238,0.645638351,,,,
10123,0.148047885,0.54969541,,,,
10126,0.882353,0.002495832,,,,
10127,0.190322391,0.748294239,,,,
10134,0.200792323,0.607126161,,,,
10135,0.633843485,0.605165071,,,,
10136,0.178163686,0.61153914,,,,
10137,0.22484685,0.566031141,,,,
10141,0.254360122,0.516088673,,,,
10142,0.567688136,0.428345549,,,,
10143,0.19380306,0.524268155,,,,
10145,0.298827906,0.130382393,,,,
10146,0.15885797,0.540152233,,,,
10147,0.184546125,0.494145495,,,,
10148,0.882353,0.002495832,,,,
10150,0.15597606,0.579522835,,,,
10151,0.185574248,0.603882925,,,,
10152,0.236050598,0.598980432,,,,
10155,0.506907,0.710570134,,,,
10157,0.625334204,0.400708676,,,,
10160,0.480844084,0.078019514,,,,
10161,0.674984653,0.282716482,,,,
10162,0.094991023,0.436197996,,,,
10163,0.08144006,0.311611508,,,,
10164,0.030282559,0.618322448,,,,
10167,0.26048358,0.475714887,,,,
10170,0.265083292,0.697132832,,,,
10171,0.882353,0.002495832,,,,
10172,0.166341024,0.56785481,,,,
10173,0.646397733,0.30296657,,,,
10174,0.634098191,0.364865398,,,,
10175,0.882353,0.002495832,,,,
10178,0.253033922,0.56647793,,,,
10181,0.171878979,0.518128758,,,,
10182,0.882353,0.002495832,,,,
10183,0.45852954,0.400594797,,,,
10185,0.237348033,0.517952801,,,,
10186,0.58760498,0.367285601,,,,
10188,0.588857468,0.347416055,,,,
10190,0.772995597,0.091217814,,,,
10192,0.21276439,0.544581264,,,,
10193,0.172794248,0.541082626,,,,
10194,0.195482991,0.595168615,,,,
10196,0.019347317,0.618904725,,,,
10201,0.882353,0.002495832,,,,
10202,0.882353,0.002495832,,,,
10204,0.607028196,0.031887604,,,,
10205,0.17749634,0.559078876,,,,
10206,0.720375895,0.012689831,,,,
10214,0.133254653,0.563383344,,,,
10215,0.156520318,0.533987488,,,,
10216,0.492934971,0.081993324,,,,
10217,0.805794237,0.068596382,,,,
10218,0.269739978,0.5402725,,,,
10221,0.198748275,0.484111754,,,,
10225,0.256209769,0.717935416,,,,
10228,0.616193128,0.376018355,,,,
10231,0.208010215,0.592878274,,,,
10232,0.239671158,0.616627917,,,,
10233,0.276195712,0.724432011,,,,
10235,0.882353,0.002495832,,,,
10236,0.667583846,0.302708506,,,,
10239,0.882353,0.002495832,,,,
10240,0.222025778,0.474556795,,,,
10243,0.225994679,0.460269061,,,,
10245,0.162402498,0.526914749,,,,
10246,0.75029644,0.009718257,,,,
10248,0.882353,0.002495832,,,,
10249,0.612950383,0.310355314,,,,
10252,0.223596968,0.600381793,,,,
10255,0.882353,0.002495832,,,,
10256,0.259136996,0.826969441,,,,
10258,0.882353,0.002495832,,,,
10261,0.605721608,0.311563052,,,,
10262,0.882353,0.002495832,,,,
10264,0.157447552,0.599950493,,,,
10265,0.200502493,0.538640005,,,,
10266,0.21278117,0.606782359,,,,
10271,0.251032314,0.507809903,,,,
10272,0.232726376,0.490403408,,,,
10275,0.80799018,0.072295875,,,,
10279,0.685222083,0.319470245,,,,
10280,0.168882796,0.571141094,,,,
10281,0.882353,0.002495832,,,,
10282,0.140167992,0.535390307,,,,
10284,0.260456736,0.456622608,,,,
10287,0.882353,0.002495832,,,,
10289,0.228143269,0.519584245,,,,
10290,0.584280269,0.340261524,,,,
10291,0.834686258,0.08800709,,,,
10292,0.177686535,0.615896436,,,,
10293,0.17457136,0.612196669,,,,
10295,0.218759562,0.557044389,,,,
10296,0.264157683,0.491324366,,,,
10297,0.882353,0.002495832,,,,
10298,0.22706902,0.491828684,,,,
10300,0.882353,0.002495832,,,,
10301,0.824640678,0.058983467,,,,
10305,0.808872438,0.073581443,,,,
10309,0.443891201,0.457273811,,,,
10310,0.882353,0.002495832,,,,
10311,0.359448786,0.480324543,,,,
10314,0.730461175,0.008266138,,,,
10316,0.633096101,0.601938713,,,,
10317,0.270942019,0.478551053,,,,
10319,0.169010306,0.572784286,,,,
10320,0.208943702,0.593645078,,,,
10321,0.210461036,0.53647305,,,,
10322,0.84044756,0.095919704,,,,
10324,0.70773602,0.444580393,,,,
10325,0.215775543,0.582866625,,,,
10326,0.690754836,0.29953338,,,,
10329,0.700326578,0.456126214,,,,
10331,0.164570858,0.550313348,,,,
10334,0.122064643,0.267075641,,,,
10335,0.882353,0.002495832,,,,
10336,0.763289391,0.003846037,,,,
10339,0.423623069,0.098458394,,,,
10341,0.797731875,0.083782139,,,,
10345,0.073867799,0.600507774,,,,
10346,0.649757228,0.309404484,,,,
10347,0.66781407,0.317600916,,,,
10349,0.103274575,0.420003445,,,,
10359,0.63788433,0.375207164,,,,
10362,0.25647099,0.47853857,,,,
10363,0.882353,0.002495832,,,,
10367,0.160105347,0.603858307,,,,
10370,0.626150761,0.302349848,,,,
10373,0.290649365,0.820115061,,,,
10374,0.205372892,0.725589814,,,,
10375,0.127076652,0.392025741,,,,
10379,0.795749092,0.056261424,,,,
10381,0.228528195,0.494593497,,,,
10382,0.576020598,0.365010434,,,,
10383,0.259871221,0.829676117,,,,
10386,0.606756115,0.351950001,,,,
10387,0.20004507,0.545718865,,,,
10388,0.310596322,0.318111302,,,,
10391,0.586530126,0.412324621,,,,
10394,0.216348508,0.482596688,,,,
10396,0.882353,0.002495832,,,,
10397,0.202367474,0.55297449,,,,
10399,0.655769631,0.3801667,,,,
10401,0.140187214,0.533992274,,,,
10402,0.174207195,0.546415826,,,,
10403,0.489136189,0.059324469,,,,
10404,0.308943076,0.812124222,,,,
10405,0.609631743,0.337625253,,,,
10406,0.882353,0.002495832,,,,
10408,0.251377144,0.509485738,,,,
10409,0.14197997,0.463784771,,,,
10413,0.533701804,0.052928729,,,,
10414,0.807309118,0.146132218,,,,
10415,0.130490571,0.33759276,,,,
10416,0.882353,0.002495832,,,,
10417,0.798978361,0.071583559,,,,
10418,0.124393206,0.460993566,,,,
10419,0.159761532,0.600702547,,,,
10420,0.222745565,0.490060076,,,,
10425,0.480577409,0.063248863,,,,
10426,0.198095903,0.479675821,,,,
10427,0.132176344,0.548945634,,,,
10429,0.661703526,0.284334807,,,,
10430,0.149312771,0.554990594,,,,
10431,0.882353,0.002495832,,,,
10434,0.794337143,0.092866119,,,,
10435,0.175738774,0.230834293,,,,
10437,0.813949785,0.068549434,,,,
10439,0.230089576,0.59875061,,,,
10440,0.49189137,0.254087069,,,,
10447,0.827058765,0.119285662,,,,
10448,0.807417821,0.146322241,,,,
10449,0.754448947,0.023357028,,,,
10452,0.116318355,0.392331996,,,,
10454,0.658320909,0.32822482,,,,
10455,0.846711367,0.026891825,,,,
10457,0.532167083,0.279378143,,,,
10458,0.557243062,0.400643633,,,,
10460,0.882353,0.002495832,,,,
10461,0.191061267,0.482028403,,,,
10462,0.526196687,0.281308381,,,,
10463,0.141346646,0.540460552,,,,
10465,0.882353,0.002495832,,,,
10467,0.134338744,0.563608304,,,,
10469,0.18821459,0.606906336,,,,
10473,0.204099609,0.611010155,,,,
10474,0.373557788,0.759171167,,,,
10476,0.795816497,0.056411609,,,,
10479,0.246522625,0.502351239,,,,
10481,0.215689479,0.583757369,,,,
10482,0.248525157,0.478476455,,,,
10483,0.579944077,0.415481173,,,,
10484,0.229348315,0.579809084,,,,
10485,0.813727556,0.082047037,,,,
10487,0.105817545,0.280809897,,,,
10488,0.189719866,0.549841226,,,,
10490,0.796810282,0.071001318,,,,
10492,0.195218566,0.593520385,,,,
10493,0.81153735,0.036267178,,,,
10494,0.206496805,0.586402861,,,,
10495,0.195075559,0.62395577,,,,
10498,0.640349586,0.600683355,,,,
10500,0.267219689,0.817085433,,,,
10502,0.130675644,0.552313762,,,,
10504,0.673587238,0.295233762,,,,
10506,0.801334356,0.049833938,,,,
10508,0.173547785,0.545213566,,,,
10509,0.882353,0.002495832,,,,
10511,0.160503818,0.605320719,,,,
10512,0.195216833,0.510869397,,,,
10513,0.193006205,0.587613383,,,,
10514,0.225829651,0.60373176,,,,
10515,0.882353,0.002495832,,,,
10516,0.224822904,0.576562942,,,,
10517,0.299215656,0.81525782,,,,
10518,0.222113774,0.717925988,,,,
10522,0.17309179,0.541933145,,,,
10526,0.16757863,0.619489253,,,,
10528,0.169513808,0.624157099,,,,
10529,0.243370737,0.507287537,,,,
10530,0.235898716,0.605780461,,,,
10531,0.676700949,0.304410842,,,,
10532,0.193392482,0.585982177,,,,
10533,0.610901486,0.322860432,,,,
10537,0.882353,0.002495832,,,,
10538,0.882353,0.002495832,,,,
10539,0.202905831,0.54902886,,,,
10540,0.201789789,0.611358088,,,,
10545,0.162064468,0.443707594,,,,
10546,0.261821912,0.727337719,,,,
10548,0.578622946,0.369063747,,,,
10551,0.882353,0.002495832,,,,
10554,0.6487548,0.306551019,,,,
10556,0.198988017,0.499199917,,,,
10561,0.167536392,0.619049652,,,,
10564,0.24301388,0.474226102,,,,
10565,0.199994787,0.522898366,,,,
10566,0.639796933,0.378654673,,,,
10567,0.224768516,0.510423631,,,,
10568,0.674475455,0.285281506,,,,
10570,0.261348954,0.471206407,,,,
10571,0.330944586,0.306778756,,,,
10572,0.547972664,0.387904059,,,,
10577,0.198972406,0.602090784,,,,
10578,0.658110529,0.313938706,,,,
10579,0.221197315,0.466260053,,,,
10591,0.829598516,0.09480114,,,,
10594,0.159125716,0.513083575,,,,
10597,0.81244177,0.139594575,,,,
10598,0.738620641,0.006882004,,,,
10601,0.594190186,0.324826801,,,,
10603,0.223258604,0.725172545,,,,
10604,0.846845413,0.026892704,,,,
10606,0.84085469,0.020363957,,,,
10607,0.233453326,0.474887959,,,,
