id,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,secondAisle,firstAisle,idstaytimesum
10000,2716,0,0,0,232,59,204,0,62,0,0,0,0,0,0,0,4917,0,0,0,86,0,145,955,9376
10002,0,3731,0,0,398,512,62,180,0,0,0,0,0,0,0,0,3572,0,0,0,0,0,0,962,9417
10003,1861,0,0,0,422,50,147,273,0,0,0,0,0,0,0,0,6285,0,0,0,0,0,0,1220,10258
10004,0,4094,0,0,176,69,199,0,0,0,0,0,0,0,0,292,2724,0,0,0,0,0,0,1768,9322
10012,0,0,0,0,171,0,0,251,0,706,0,0,0,0,0,7169,2243,14,0,0,0,0,0,460,11014
10014,2513,0,0,0,382,381,421,0,367,0,0,0,0,0,0,0,6153,17,0,0,82,0,149,836,11301
10015,0,1632,0,0,268,463,198,84,0,0,0,0,0,0,0,2291,4273,0,0,0,0,0,0,1266,10475
10021,0,0,0,0,218,41,35,45,99,0,0,568,0,0,0,2823,3252,15,0,2413,87,0,183,1454,11233
10022,0,0,0,0,437,23,0,171,0,0,0,0,0,0,0,2901,1667,0,0,1930,87,0,73,1029,8318
10026,2277,0,0,0,167,56,0,337,191,0,0,0,0,0,0,884,4978,14,0,0,91,0,153,909,10057
10027,2576,0,0,0,251,48,0,386,0,0,0,0,0,0,0,271,6626,129,0,0,0,0,0,1359,11646
10032,0,6282,0,0,266,28,0,0,92,0,0,0,0,0,0,0,0,0,0,0,82,0,139,926,7815
10033,0,0,6546,0,430,60,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,8330
10037,0,0,0,0,211,0,0,0,68,0,0,0,0,8858,0,0,0,0,0,0,88,0,163,512,9900
10041,0,0,0,0,375,0,0,0,0,0,0,0,0,7675,0,0,0,0,0,0,77,0,70,121,8318
10045,2207,0,0,0,188,27,0,98,0,0,0,0,0,0,0,0,6076,0,0,0,0,0,0,1184,9780
10046,0,0,0,0,399,0,0,0,0,0,0,0,0,8385,0,0,0,0,0,0,88,0,80,1107,10059
10051,2298,0,0,0,451,21,200,0,0,0,0,0,0,0,0,934,6565,7,0,0,0,0,0,1425,11901
10053,2378,0,0,0,453,39,0,0,731,0,0,0,0,0,0,1243,5379,0,0,0,96,0,154,557,11030
10056,0,0,0,0,308,0,0,486,0,0,0,0,0,0,0,620,8264,0,0,0,0,0,0,1881,11559
10058,0,2595,0,0,278,62,237,191,0,0,0,0,0,0,0,0,5539,15,0,0,0,0,0,1921,10838
10077,0,3855,0,0,394,793,559,126,0,0,0,0,0,0,0,459,5126,7,0,0,0,0,0,1162,12481
10080,0,0,5375,0,209,75,0,312,0,0,0,0,0,0,0,606,0,14,0,0,0,0,0,1433,8024
10084,0,2551,0,0,295,32,335,0,343,463,0,0,0,0,0,259,5412,7,0,0,87,0,146,1445,11375
10085,0,737,0,0,193,44,108,0,0,0,0,0,0,0,0,0,1497,0,0,0,0,0,0,1710,4289
10088,6601,0,0,0,281,183,90,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,518,7682
10090,0,0,0,0,217,328,140,0,0,0,0,0,0,8443,0,0,0,0,0,0,87,0,67,363,9645
10091,0,4463,0,0,295,29,0,0,215,0,0,0,0,0,0,0,0,0,0,0,85,0,147,274,5508
10093,0,0,5915,0,241,51,223,0,0,0,0,0,0,0,0,767,0,0,0,0,7,0,0,1134,8338
10101,0,0,0,0,310,0,0,404,0,501,0,0,0,0,0,0,7469,0,0,0,0,0,0,1293,9977
10109,0,4930,0,0,166,965,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,7014
10111,0,0,0,0,0,378,0,0,0,0,1474,0,0,0,0,0,0,0,0,0,7,0,0,214,2073
10112,0,0,6010,0,365,348,70,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,8101
10115,0,0,0,0,334,379,155,238,233,0,0,0,0,0,0,680,7665,14,0,446,163,0,198,1028,11533
