id,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,secondAisle,firstAisle,idstaytimesum
10001,0,0,0,9164,255,651,287,0,0,0,0,0,0,0,0,0,0,0,0,205,141,0,137,1267,12107
10003,0,0,0,0,313,0,0,161,159,0,0,0,0,0,0,992,9497,0,0,0,81,0,143,808,12154
10012,0,0,0,0,213,107,0,283,0,0,0,0,0,0,0,0,12130,20,0,0,0,0,0,1339,14092
10014,0,0,0,0,434,0,275,510,0,0,0,562,0,0,0,848,11004,22,389,53,181,0,164,950,15392
10015,0,0,0,8770,388,775,286,193,356,399,0,0,0,0,0,41,12157,0,736,5054,344,0,746,2452,32697
10018,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,706,4744,89,163,0,116,0,168,452,6642
10019,10004,0,0,0,0,1004,373,51,109,1237,3878,609,0,0,0,0,10711,14,1581,0,160,0,133,3004,32868
10021,0,0,0,0,263,0,0,0,83,0,0,0,0,0,0,139,12195,0,0,464,91,0,199,840,14274
10022,0,0,0,0,368,17,140,0,266,0,0,0,0,0,0,0,10035,15,0,503,200,6114,397,2556,20611
10023,0,0,9300,0,263,90,406,0,0,414,0,0,0,0,0,0,0,0,0,433,112,0,143,1231,12392
10026,0,0,0,0,182,0,0,723,0,0,0,435,0,0,0,197,10430,31,337,147,250,0,265,1307,14304
10027,0,0,0,0,267,0,0,264,73,0,0,594,0,0,0,310,9961,152,784,0,200,0,261,1263,14129
10037,0,0,0,0,232,0,0,0,314,457,0,0,0,20115,0,0,0,0,840,0,168,0,321,215,22662
10041,0,0,0,0,376,0,350,0,274,547,0,0,0,24740,0,0,0,160,839,0,100,0,204,452,28042
10045,0,0,0,0,205,0,0,69,222,0,0,0,0,0,0,172,10984,0,0,0,102,0,548,819,13121
10046,0,0,0,0,405,20,708,0,0,551,0,0,0,18086,0,0,0,34,6818,46,188,0,242,1544,28642
10049,0,0,0,0,298,0,0,56,0,0,0,0,0,0,0,1019,7002,0,326,0,118,0,138,706,9663
10051,0,0,0,0,408,455,0,102,122,0,0,0,0,0,0,0,10377,7,922,480,311,0,374,1860,15418
10053,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,1159,7467,0,0,0,0,0,0,598,9681
10056,0,0,0,0,403,0,0,609,0,0,0,0,0,0,0,1307,9687,0,261,0,107,0,116,874,13364
10058,0,0,8811,0,288,154,438,148,1010,450,0,0,0,0,0,0,11743,28,1432,3695,534,0,728,2835,32294
10062,2937,6222,0,0,251,295,95,0,0,145,0,0,0,0,0,0,0,0,0,1812,118,0,148,829,12852
10070,0,0,0,0,282,0,0,30,0,0,0,0,0,0,0,1166,0,124,0,0,85,0,1490,657,3834
10077,0,0,0,0,310,57,137,569,0,0,0,0,0,0,0,0,11763,0,0,0,203,4432,11,3279,20761
10078,0,9542,0,0,186,148,78,0,54,468,0,0,0,0,0,0,0,0,0,1390,194,0,261,1260,13581
10080,0,9261,0,0,222,83,0,72,0,787,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,12423
10082,0,0,0,0,219,0,0,224,0,0,0,505,0,0,0,266,11598,8,0,0,99,0,101,1199,14219
10083,0,0,0,5611,382,526,351,76,342,629,0,0,0,0,0,1702,8112,0,774,6906,270,0,406,2462,28549
10084,0,0,0,0,353,23,303,0,225,0,0,387,0,0,0,138,10187,34,468,159,304,0,345,1425,14351
10085,0,0,0,8105,206,62,387,68,154,0,0,0,0,0,0,3757,10135,76,0,4191,209,0,302,3053,30705
10087,0,0,0,0,520,1451,235,64,0,0,0,0,0,0,0,1702,0,15,0,0,0,0,0,998,4985
10090,0,0,0,0,219,0,339,262,323,603,0,0,0,24021,0,0,0,21,935,0,386,0,352,769,28230
10091,2073,4043,0,0,302,594,337,0,0,0,0,0,0,0,0,0,0,0,0,3372,85,0,67,1219,12092
10092,10289,0,0,0,142,719,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,12465
10094,0,0,0,0,339,464,0,43,0,0,0,629,0,0,0,309,11590,0,152,0,173,0,173,1541,15413
10097,0,0,0,0,416,0,0,161,0,0,0,139,0,0,0,1553,0,0,0,0,0,9677,0,1125,13071
10098,10233,0,0,0,462,86,0,285,0,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,1700,13792
10101,0,0,0,0,371,0,0,210,0,0,0,564,0,0,0,223,9421,79,159,0,235,0,350,1242,12854
10107,0,5580,0,0,343,130,990,0,0,516,0,612,0,0,0,1501,12075,12,619,6256,351,0,350,3539,32874
10111,981,5665,0,0,0,97,0,216,143,353,7956,0,0,0,0,0,11941,0,954,0,158,0,160,2545,31169
10115,0,0,6211,3034,500,82,0,0,1094,353,0,0,0,0,0,971,12439,7,1370,4253,277,0,504,1146,32241
10117,0,0,0,9930,290,365,322,241,525,696,0,0,0,0,0,866,12212,0,1110,3764,253,0,394,1861,32829
10121,0,0,0,0,219,14,105,0,940,412,0,0,0,19570,0,850,0,0,1118,0,178,0,362,365,24133
10123,0,0,0,0,251,39,278,46,0,0,0,0,0,0,0,176,11763,0,0,0,0,8043,0,1585,22181
10126,0,0,0,0,420,244,250,0,0,0,0,52,0,0,0,2513,0,0,0,0,79,0,527,1011,5096
10127,0,0,9666,0,381,450,287,205,153,541,0,0,0,0,0,473,12898,21,1169,2341,410,0,484,3326,32805
10134,0,0,0,0,298,7,84,314,0,0,0,637,0,0,0,1307,10657,8,364,0,88,6028,91,1129,21012
10135,9456,0,0,0,151,267,252,81,0,337,0,0,0,0,0,994,0,0,0,0,7,0,0,1420,12965
10136,0,0,0,6197,342,486,272,487,0,414,0,0,0,0,0,3256,12464,0,959,4409,294,0,259,3232,33071
10143,0,0,0,0,340,0,0,62,0,0,0,446,0,0,0,117,11518,9,0,175,207,0,975,1415,15264
10145,0,0,9945,0,260,294,682,114,123,557,0,0,0,0,0,800,12269,16,1546,3612,242,0,386,2286,33132
10146,0,0,0,0,288,2126,223,0,0,0,0,0,0,0,0,2633,0,0,0,0,0,9454,0,2748,17472
10148,0,0,0,0,395,0,0,73,0,0,0,0,0,0,0,1782,0,112,0,0,11,0,0,2829,5202
10150,0,0,0,4292,402,1348,925,410,0,808,0,0,0,0,0,328,11845,0,1131,6897,379,0,374,2493,31632
10151,0,0,0,0,473,178,74,0,0,0,0,0,0,0,0,0,6980,0,34,0,121,0,173,1271,9304
10152,0,0,0,0,443,55,0,315,0,0,0,576,0,0,0,4045,5669,0,0,0,8,0,0,1726,12837
10160,0,0,0,0,469,10,0,511,0,0,0,0,0,0,0,358,11530,0,398,0,141,0,151,2265,15833
10162,0,8441,0,0,372,1099,351,0,197,479,0,0,0,0,0,0,12569,16,786,5359,690,0,908,2109,33376
10163,1288,5759,0,0,345,384,648,437,170,764,0,0,0,0,0,0,12127,8,1024,5078,299,0,494,2898,31723
10164,0,0,0,0,33185,0,0,0,645,0,0,0,0,0,2702,0,0,0,0,0,199,0,256,234,37221
10167,0,4955,0,0,262,901,357,389,50,226,0,655,0,0,0,0,12085,0,1447,8202,401,0,1959,1264,33153
10170,0,0,0,0,465,0,0,522,0,0,0,0,0,0,0,419,7111,8,121,0,148,0,131,1134,10059
10172,0,0,0,0,312,0,0,109,105,0,0,345,0,0,0,420,11812,0,0,58,206,0,286,1448,15101
10178,0,0,0,0,349,17,80,467,0,0,0,374,0,0,0,732,10528,14,0,0,0,0,0,912,13473
10181,0,0,0,0,0,13,0,0,27,0,581,0,0,0,0,0,10618,0,0,0,87,0,61,1374,12761
10182,2766,0,6785,0,262,132,196,485,0,0,0,0,0,0,0,1568,12901,8,1092,3800,266,0,279,2086,32626
10185,0,0,0,0,344,0,0,188,0,0,0,0,0,0,0,2328,3047,0,0,0,0,0,0,487,6394
10192,0,0,0,9025,238,1058,853,0,249,439,0,212,0,0,0,930,9752,0,387,4073,343,0,1056,1823,30438
10194,0,0,0,0,351,0,0,90,0,0,0,605,0,0,0,484,10184,9,25,0,157,0,153,1612,13670
10196,0,0,0,0,32802,0,0,706,0,0,0,0,0,0,3061,0,0,15,0,0,257,0,332,502,37675
10201,0,0,0,0,420,0,0,273,308,0,0,0,0,0,0,2760,6768,7,961,1176,266,4565,459,1088,19051
10202,3020,6807,0,0,413,60,484,0,0,572,0,0,0,0,0,745,0,0,0,0,0,0,0,1006,13107
10204,0,0,0,6844,192,275,127,262,53,557,0,692,0,0,0,347,9803,0,877,5965,369,0,407,2749,29519
10205,0,0,0,2915,376,150,70,187,263,576,0,0,0,0,0,1361,10754,8,1391,7921,559,0,1422,2888,30841
10206,0,0,9218,0,510,823,446,161,201,432,0,0,0,0,0,1670,11096,14,773,4115,337,0,482,3464,33742
10214,6625,2874,0,0,365,731,395,262,0,0,0,0,5361,0,0,0,13161,0,1253,0,138,0,160,1998,33323
10216,0,0,0,0,365,0,0,345,0,0,0,0,0,0,0,718,11826,0,0,0,0,0,0,1047,14301
10221,0,0,0,0,339,45,355,0,0,0,0,0,0,0,0,0,4268,0,459,0,98,0,137,1459,7160
10225,0,0,0,0,193,0,0,85,0,0,0,0,0,0,0,1309,6655,14,598,0,121,0,124,717,9816
10231,0,4377,0,0,344,1585,1034,240,233,530,0,332,0,0,0,709,11832,8,778,7105,366,0,406,2548,32427
10232,0,0,0,0,228,39,379,0,0,538,0,108,0,24814,0,228,0,0,696,0,223,0,239,780,28272
10233,0,8851,0,0,423,675,355,305,63,568,0,0,0,0,0,2462,12033,21,1049,3461,276,0,348,2373,33263
10235,0,0,0,9740,176,770,254,0,0,389,0,0,0,0,0,0,0,0,0,716,250,0,236,749,13280
10240,0,0,0,0,242,8,126,102,0,0,0,0,0,0,0,1002,10207,30,0,0,50,0,0,1746,13513
10243,0,0,0,0,0,0,0,46,0,0,534,0,0,0,0,0,12422,20,0,0,0,0,0,1070,14092
10245,0,0,0,0,0,130,193,0,1419,490,12831,0,0,0,0,2501,9760,0,711,0,241,0,195,2628,31099
10246,0,0,0,3441,195,948,311,135,59,0,0,0,0,0,0,4782,3763,7,666,4997,184,0,344,3475,23307
10248,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,1138,16,0,0,0,0,0,363,2029
10249,0,0,3234,0,273,1093,330,482,415,287,0,729,0,0,0,8078,6979,15,703,5503,358,0,616,2325,31420
10252,0,0,0,6442,172,79,643,189,400,485,0,0,0,0,0,0,12030,7,1354,5595,309,0,509,3100,31314
10255,0,0,0,0,338,728,0,75,117,0,0,0,0,0,0,1099,0,0,0,0,84,0,147,2269,4857
10256,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,1098,10525,9,32,0,164,0,134,705,12992
10264,0,0,0,0,239,32,205,162,0,0,0,0,0,0,0,0,12169,7,0,0,0,0,0,2962,15776
10265,0,0,6603,0,432,416,331,353,150,147,0,648,0,0,0,0,12075,18,1422,5810,629,0,827,2266,32127
10271,0,7869,0,0,273,611,534,428,1157,339,0,0,0,0,0,450,12079,19,761,5317,307,0,667,2169,32980
10272,0,0,6186,0,316,973,344,126,362,317,0,0,0,0,0,2123,11404,9,691,4388,219,0,457,4062,31977
10275,0,0,0,10873,293,674,0,340,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,13713
10280,0,0,0,2358,463,336,177,703,277,531,0,0,0,0,0,9727,10407,14,613,2250,138,0,226,2198,30418
10281,0,0,0,5711,187,723,140,108,0,448,0,0,0,0,0,1972,0,0,0,2015,111,0,126,793,12334
10282,0,0,0,0,0,440,398,0,0,0,1063,0,0,0,0,0,10229,7,627,0,85,0,74,1374,14297
10284,0,0,0,0,292,22,421,0,89,461,0,0,0,25064,0,0,0,120,854,0,113,0,580,555,28571
10292,0,0,0,0,160,17,0,0,326,0,0,0,0,0,0,0,12388,18,0,269,302,0,294,1500,15274
10293,0,0,0,0,293,39,176,589,0,0,0,360,0,0,0,500,7893,22,319,0,173,0,1931,1847,14142
10295,0,0,0,0,290,28,226,0,0,0,0,576,0,0,0,2929,10444,0,0,0,0,8405,0,1524,24422
10297,0,0,0,0,547,249,66,0,0,0,0,0,0,0,0,2693,0,0,0,0,0,0,0,1045,4600
10298,0,0,0,0,432,0,0,102,0,0,0,508,0,0,0,701,9168,0,548,0,132,4080,153,908,16732
10300,0,0,0,10961,331,220,89,0,333,452,0,0,0,0,0,0,0,0,0,0,149,0,118,1211,13864
10309,0,13316,0,0,14,29,69,0,0,0,0,0,0,0,7216,0,0,0,0,0,78,0,113,768,21603
10310,6607,3320,0,0,212,108,251,0,283,0,0,71,0,0,0,598,0,0,0,0,81,0,149,1788,13468
10317,0,0,5966,0,324,46,113,157,293,599,0,0,0,0,0,295,12821,115,1257,6581,386,0,643,3000,32596
10319,0,0,0,4339,379,1026,656,557,0,675,0,391,0,0,0,2369,11655,17,1396,5072,303,0,332,3744,32911
10324,0,0,7898,0,389,874,558,252,892,114,0,0,0,0,0,0,11474,0,1134,5322,318,0,715,2208,32148
10325,0,0,0,0,332,0,0,142,0,0,0,0,0,0,0,957,9968,9,0,0,0,5712,0,1181,18301
10326,9253,0,0,0,240,137,507,0,0,0,0,0,0,0,0,0,0,0,0,771,112,0,145,1778,12943
10329,0,0,6093,0,330,84,416,210,459,310,0,0,0,0,0,2851,11828,32,687,2993,348,0,2699,2744,32084
10331,0,0,0,0,240,7,53,0,0,0,0,0,0,0,0,0,1823,0,0,0,0,0,0,2381,4504
10334,0,3060,5914,0,289,407,513,0,1294,250,0,0,0,0,0,754,12460,0,661,4175,335,0,839,2137,33088
10345,0,0,0,0,1732,0,0,0,0,0,0,0,0,0,1688,0,0,0,0,0,166,0,204,186,3976
10349,0,0,0,0,346,800,0,121,356,0,0,800,0,0,0,428,9885,0,1276,0,201,0,319,1295,15827
10362,0,0,0,0,271,13,0,605,0,0,0,0,0,0,0,0,11579,0,0,0,0,0,0,1606,14074
10367,0,0,0,0,455,213,51,74,0,0,0,0,0,0,0,0,11096,15,0,0,0,0,0,2279,14183
10373,0,0,0,0,249,17,0,45,89,0,0,659,0,0,0,319,9924,158,1178,0,208,0,286,2541,15673
10374,0,2666,5523,0,452,192,606,842,476,692,0,0,0,0,0,1494,12554,0,1029,2241,291,0,526,2978,32562
10375,0,0,0,0,344,410,200,151,0,0,0,0,0,0,0,2905,10279,17,0,0,0,5214,0,1521,21041
10382,0,2793,0,0,198,41,0,0,0,641,0,0,0,0,0,8005,0,122,0,0,8,0,0,629,12437
10383,0,0,0,0,365,0,0,308,0,0,0,508,0,0,0,1751,9469,0,0,0,0,0,0,1092,13493
10388,0,0,0,0,194,0,76,0,410,439,0,0,0,19763,0,0,0,0,822,0,92,0,246,284,22326
10394,0,0,0,0,367,0,0,252,0,0,0,0,0,0,0,1605,12166,0,163,0,173,4161,179,1175,20241
10396,6639,3965,0,0,189,85,98,0,258,0,0,0,0,0,0,495,0,0,0,708,206,0,393,691,13727
10401,0,0,7284,2643,0,646,427,200,185,814,3657,0,0,0,0,0,10785,0,1681,0,79,0,86,1841,30328
10402,0,0,0,0,247,1049,0,107,0,0,0,0,0,0,0,2437,3932,17,0,0,0,0,0,768,8557
10403,0,0,0,0,416,0,0,232,0,0,0,0,0,0,0,487,12117,0,0,0,0,0,0,865,14117
10404,0,0,0,0,184,0,268,235,0,0,0,0,0,0,0,1594,9934,0,0,0,0,4859,0,1157,18231
10406,3122,6857,0,0,364,196,430,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,13496
10408,0,0,0,0,320,0,0,301,396,0,0,592,0,0,0,640,9772,15,534,0,110,0,178,1360,14218
