id,sid,time,time2
11396,11502,25240,7:00:40
15367,11300,25320,7:02:00
16111,11502,25380,7:03:00
10196,11502,25430,7:03:50
15800,11504,25450,7:04:10
11462,11504,25530,7:05:30
13300,11502,25640,7:07:20
12856,11300,25670,7:07:50
11876,11300,25800,7:10:00
10164,11502,25860,7:11:00
18689,11502,25900,7:11:40
11778,11504,25910,7:11:50
14678,11502,25970,7:12:50
18367,11502,26060,7:14:20
17516,11502,26090,7:14:50
12573,11502,26110,7:15:10
14825,11502,26110,7:15:10
18123,11504,26290,7:18:10
13339,11502,26300,7:18:20
13982,11502,26400,7:20:00
19027,11502,26480,7:21:20
18059,11502,26520,7:22:00
14819,11504,26590,7:23:10
15670,11504,26610,7:23:30
15152,11502,26620,7:23:40
16290,11502,26630,7:23:50
10638,11502,26770,7:26:10
15801,11502,26800,7:26:40
19617,11502,26800,7:26:40
12602,11300,26920,7:28:40
10762,11502,26970,7:29:30
14863,11504,26970,7:29:30
15408,11502,26990,7:29:50
19627,11300,27000,7:30:00
11532,11300,27020,7:30:20
16065,11504,27110,7:31:50
17054,11300,27120,7:32:00
11026,11502,27130,7:32:10
11143,11504,27130,7:32:10
11165,11502,27210,7:33:30
11251,11504,27220,7:33:40
13322,11300,27320,7:35:20
16310,11504,27400,7:36:40
13460,11502,27740,7:42:20
13890,11502,27820,7:43:40
14461,11507,28000,7:46:40
12805,11502,28330,7:52:10
12534,11502,28760,7:59:20
14649,11504,28760,7:59:20
14715,11502,28760,7:59:20
16453,11502,28760,7:59:20
11170,11300,28770,7:59:30
14090,11300,28770,7:59:30
14628,11502,28770,7:59:30
14868,11504,28770,7:59:30
15701,11300,28770,7:59:30
16737,11300,28770,7:59:30
16802,11300,28770,7:59:30
18812,11502,28770,7:59:30
10077,11300,28780,7:59:40
11901,11502,28780,7:59:40
13041,11502,28780,7:59:40
14533,11502,28780,7:59:40
14593,11504,28780,7:59:40
17636,11300,28780,7:59:40
18616,11504,28780,7:59:40
13828,11504,28790,7:59:50
15110,11502,28790,7:59:50
15329,11502,28790,7:59:50
15466,11504,28790,7:59:50
15533,11504,28790,7:59:50
15820,11502,28790,7:59:50
16433,11504,28790,7:59:50
16734,11300,28790,7:59:50
18162,11300,28790,7:59:50
18242,11507,28790,7:59:50
18465,11502,28790,7:59:50
18667,11502,28790,7:59:50
10167,11502,28800,8:00:00
11586,11504,28800,8:00:00
11655,11504,28800,8:00:00
12842,11300,28800,8:00:00
13744,11502,28800,8:00:00
14179,11504,28800,8:00:00
14629,11502,28800,8:00:00
15787,11504,28800,8:00:00
15905,11507,28800,8:00:00
16705,11300,28800,8:00:00
18751,11504,28800,8:00:00
11453,11300,28810,8:00:10
12615,11502,28810,8:00:10
13691,11300,28810,8:00:10
14257,11507,28810,8:00:10
11819,11504,28820,8:00:20
13147,11507,28820,8:00:20
14403,11507,28820,8:00:20
16250,11504,28820,8:00:20
17227,11300,28820,8:00:20
17561,11502,28820,8:00:20
18401,11504,28820,8:00:20
19326,11300,28820,8:00:20
11478,11300,28830,8:00:30
15293,11502,28830,8:00:30
15298,11502,28830,8:00:30
18057,11300,28830,8:00:30
19255,11502,28830,8:00:30
10826,11504,28840,8:00:40
10882,11502,28840,8:00:40
15248,11502,28840,8:00:40
16421,11300,28840,8:00:40
17435,11504,28840,8:00:40
19209,11300,28840,8:00:40
19547,11504,28840,8:00:40
10884,11300,28850,8:00:50
18601,11502,28850,8:00:50
19996,11502,28850,8:00:50
12102,11300,28860,8:01:00
12338,11300,28860,8:01:00
13951,11502,28860,8:01:00
14100,11507,28860,8:01:00
15241,11507,28860,8:01:00
15694,11504,28860,8:01:00
10295,11502,28870,8:01:10
10725,11504,28870,8:01:10
11498,11300,28870,8:01:10
