time,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,firstAisle,secondAisle
8:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,3,7
8:10:00,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,13,0
8:20:00,0,0,0,0,20,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,13,1
8:30:00,0,0,0,0,27,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,2,10,27,1
8:40:00,0,0,0,0,288,10,22,1,6,0,49,0,0,0,6,46,0,4,0,0,7,11,146,13
8:50:00,0,0,0,0,264,50,48,6,3,0,93,0,4,2,8,230,0,6,0,0,10,9,328,61
9:00:00,0,0,0,0,281,75,35,10,12,0,128,0,6,2,3,461,11,7,0,0,15,22,520,114
9:10:00,0,0,0,0,181,40,7,2,0,0,10,4,2,164,1,97,1290,10,0,0,7,4,314,20
9:20:00,0,0,0,0,144,86,13,0,3,0,18,4,2,178,4,166,1545,6,0,0,5,2,205,18
9:30:00,2,2,4,0,166,138,11,1,3,0,20,4,2,179,2,263,1562,5,0,0,5,4,263,26
9:40:00,107,461,170,0,50,21,3,8,2,0,16,0,3,179,0,116,1500,6,0,1,3,8,109,10
9:50:00,125,871,182,0,31,21,10,16,9,0,16,0,1,179,0,96,1056,5,0,3,4,44,117,15
10:00:00,125,915,181,0,20,3,1,0,0,0,13,0,1,179,0,76,1152,5,0,3,2,82,36,7
10:10:00,125,914,183,0,20,11,2,0,0,0,13,0,1,179,0,57,1169,5,0,4,2,82,28,6
10:20:00,124,816,183,0,20,28,7,5,1,0,11,0,1,179,2,47,1178,4,0,5,6,85,100,6
10:30:00,76,715,182,0,26,53,32,85,13,0,23,4,5,161,2,116,766,8,0,22,13,140,346,45
10:40:00,414,631,182,0,25,92,19,21,21,127,30,140,8,125,2,147,12,5,0,50,9,207,562,21
10:50:00,819,580,176,0,30,87,22,16,6,0,43,2,10,126,2,217,12,4,0,160,9,251,259,37
11:00:00,838,366,142,0,21,69,28,12,7,0,15,1,2,125,3,68,659,4,0,40,6,317,147,12
11:10:00,855,177,94,0,17,82,42,4,16,0,15,0,3,124,50,53,695,2,0,45,2,396,200,18
11:20:00,500,27,17,0,14,188,84,16,7,0,15,0,3,124,50,49,756,2,0,32,12,597,400,15
11:30:00,3,3,3,0,15,176,56,61,28,0,19,0,4,55,44,49,788,5,0,36,14,1111,427,25
11:40:00,1,0,0,0,12,28,32,46,25,0,23,0,4,1,25,84,514,7,0,67,12,1749,261,39
11:50:00,0,0,0,0,10,13,2,1,0,0,26,0,5,0,25,75,746,2,0,72,3,1888,45,17
12:00:00,0,0,0,0,10,0,2,69,2,0,0,1,0,0,20,34,39,9,0,0,4,2498,234,8
12:10:00,0,0,0,0,14,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,5,2884,14,1
12:20:00,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2890,14,0
12:30:00,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,6,0
12:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
12:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
13:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
13:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
13:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
13:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
13:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
14:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
14:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
14:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
14:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
14:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
15:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
15:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
15:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
15:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
15:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
16:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
16:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
16:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
16:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
16:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
17:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
17:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
17:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
17:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
17:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0
