data,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,firstAisle,secondAisle
7:0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:5:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1
7:10:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2
7:15:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,1
7:20:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,1,0,1
7:25:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,1,1
7:30:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,1,3,4
7:35:0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,6,0,13,2
7:40:0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,2,0,15,1
7:45:0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,15,1
7:50:0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,6,0,0,4,0,0,2,0,15,0
7:55:0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,6,0,4,0,0,2,0,15,1
8:0:0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,1,6,0,4,0,0,2,11,34,0
8:5:0,0,0,0,0,206,2,3,0,0,0,21,0,0,0,1,8,0,4,0,0,2,4,45,1
8:10:0,0,0,0,0,243,15,32,3,6,0,45,0,0,0,3,54,0,4,0,0,5,7,129,9
8:15:0,0,0,0,0,260,33,37,3,6,0,72,0,2,0,5,163,0,4,0,0,4,6,168,27
8:20:0,0,0,0,0,233,46,23,7,10,0,97,0,5,0,8,276,0,4,0,0,9,3,247,50
8:25:0,0,0,0,0,212,56,32,2,4,0,129,0,8,0,4,414,6,4,0,0,6,10,277,71
8:30:0,0,0,0,0,216,51,23,3,5,0,142,0,13,0,4,484,15,4,0,0,19,9,405,74
8:35:0,0,0,0,0,325,11,6,1,1,0,32,0,2,0,1,89,561,5,0,0,3,3,732,14
8:40:0,0,0,0,0,163,10,8,2,0,0,39,2,4,0,1,91,1301,4,0,0,7,2,257,15
8:45:0,0,0,0,0,125,9,10,3,1,0,49,3,3,2,0,92,1567,9,0,0,4,1,118,21
8:50:0,0,0,0,0,102,12,15,3,4,0,60,2,4,2,0,109,1640,7,0,0,5,2,119,19
8:55:0,0,0,0,0,89,14,15,1,3,0,70,7,5,2,0,141,1664,9,0,0,7,7,141,20
9:0:0,0,0,0,0,95,24,5,11,3,0,80,3,5,3,0,215,1524,11,0,0,9,11,240,30
9:5:0,0,0,0,0,113,20,7,6,2,0,7,0,3,133,0,77,1772,6,0,0,9,7,176,21
9:10:0,0,0,0,0,23,17,0,0,0,0,4,0,3,162,0,55,1972,5,0,0,7,2,89,13
9:15:0,0,0,0,0,18,8,0,0,0,0,6,0,3,172,0,54,2030,4,0,0,2,1,43,9
9:20:0,0,0,0,0,32,4,2,0,1,0,9,0,2,172,0,52,2046,4,0,0,3,0,33,9
9:25:0,0,0,0,0,36,5,1,0,0,0,6,1,2,172,0,50,2062,4,0,1,3,1,39,7
9:30:0,0,0,0,0,29,8,0,1,0,0,10,0,2,172,0,46,2079,4,0,2,2,1,39,7
9:35:0,0,0,0,0,53,13,1,2,0,0,12,0,3,172,0,48,2081,4,0,2,3,2,41,5
9:40:0,0,0,0,0,52,20,4,16,1,0,13,0,3,172,0,57,2023,4,0,3,8,9,88,5
9:45:0,0,0,0,0,70,36,15,98,12,0,11,3,5,172,0,139,1603,6,0,5,10,13,303,25
9:50:0,0,0,0,0,54,18,29,111,32,0,4,0,3,172,0,98,1686,4,0,2,15,11,273,38
9:55:0,0,0,0,0,52,13,4,3,3,0,2,0,3,172,0,80,2119,4,0,2,10,2,90,6
10:0:0,0,0,0,0,45,9,5,0,0,0,1,0,3,172,0,80,2186,7,0,2,2,3,65,7
10:5:0,0,0,0,0,51,4,1,0,0,0,1,0,3,172,0,52,2193,4,0,2,3,0,103,4
10:10:0,0,0,0,0,19,14,5,3,1,0,1,1,2,172,0,78,2209,6,0,2,4,0,59,18
10:15:0,0,0,0,0,18,12,2,0,0,0,2,0,2,172,0,93,2215,5,0,4,3,0,49,18
10:20:0,0,0,0,0,18,10,0,2,0,0,3,0,2,172,0,98,2216,4,0,7,2,0,45,17
10:25:0,0,0,0,0,24,11,4,17,0,0,3,2,2,171,0,84,2168,4,0,9,3,9,77,18
10:30:0,0,0,0,0,29,15,12,82,13,0,5,3,2,171,0,141,1812,6,0,16,8,18,239,39
10:35:0,0,0,0,0,26,37,51,201,24,0,20,358,6,122,0,242,658,5,0,22,20,22,747,41
10:40:0,0,0,0,0,32,77,86,374,82,0,28,726,11,122,0,312,12,7,0,47,10,4,589,77
10:45:0,0,0,0,0,33,122,35,195,31,0,44,415,13,124,0,462,15,16,0,150,19,2,864,69
10:50:0,0,0,0,0,29,157,30,119,20,0,76,3,14,142,0,710,12,19,0,272,31,0,878,106
10:55:0,0,0,0,0,27,20,22,5,16,0,16,0,1,161,0,400,547,6,0,45,152,4,1116,90
11:0:0,0,0,0,0,19,7,6,2,0,0,5,0,1,172,1,44,1322,5,0,20,12,39,968,4
11:5:0,0,0,0,0,18,8,4,9,0,0,5,0,1,171,1,42,2073,4,0,19,4,43,184,5
11:10:0,0,0,0,0,18,2,0,0,0,0,5,0,0,171,5,39,2226,4,0,18,2,25,32,8
11:15:0,0,0,0,0,20,2,0,0,0,0,5,0,0,171,8,36,2236,4,0,18,2,0,23,5
11:20:0,0,0,0,0,20,2,0,0,0,0,5,0,0,171,8,33,2240,4,0,19,3,0,21,4
11:25:0,0,0,0,0,20,0,0,1,1,0,5,0,1,172,8,32,2244,4,0,18,2,0,20,2
11:30:0,0,0,0,0,20,0,0,1,1,0,5,0,1,172,8,31,2247,4,0,15,3,0,21,1
11:35:0,0,0,0,0,20,0,0,1,1,0,5,0,2,172,9,29,2251,4,0,15,4,0,18,1
11:40:0,0,0,0,0,21,0,1,2,0,0,5,0,2,172,10,27,2250,4,0,14,1,2,22,2
11:45:0,0,0,0,0,11,0,0,2,2,0,5,0,2,171,48,21,2232,2,0,14,1,0,22,1
11:50:0,0,0,0,0,10,1,1,5,0,0,5,0,3,171,53,23,2219,2,0,13,0,0,25,3
11:55:0,0,0,0,0,10,4,0,15,0,0,1,1,2,171,53,23,2164,4,0,3,6,12,62,3
12:0:0,0,0,0,0,10,6,11,46,9,0,2,0,4,171,53,30,2040,2,0,4,3,67,53,12
12:5:0,0,0,0,0,10,2,4,9,8,0,0,0,1,3,53,7,1912,6,271,0,32,30,76,33
12:10:0,0,0,0,0,11,1,0,7,11,0,0,0,1,6,53,8,1739,4,436,2,32,0,58,58
12:15:0,0,0,0,0,4,1,9,14,52,0,0,0,1,25,32,11,1534,3,494,10,46,23,100,68
12:20:0,0,0,0,0,4,2,12,10,63,0,0,0,4,56,35,10,1027,11,444,27,109,168,281,141
12:25:0,0,0,0,0,6,3,13,19,45,0,1,0,2,108,33,14,222,10,555,49,157,329,511,162
12:30:0,0,0,0,0,8,2,4,9,32,0,5,0,6,134,33,11,5,2,671,73,222,320,185,188
12:35:0,0,0,0,0,8,4,13,7,47,0,8,0,7,154,33,12,3,3,868,119,5,229,33,38
12:40:0,0,0,0,0,8,11,15,8,73,0,19,0,9,160,31,18,6,3,691,194,14,0,46,56
12:45:0,0,0,0,0,10,15,18,27,124,0,34,0,9,166,12,20,0,3,443,309,11,1,91,69
12:50:0,0,0,0,0,13,28,18,34,113,0,45,1,9,168,10,28,2,3,251,428,12,2,128,68
12:55:0,0,0,0,0,16,41,22,27,83,0,72,1,10,168,10,44,0,4,115,560,5,0,122,59
13:0:0,0,0,0,0,16,42,16,18,42,0,93,0,10,168,11,56,0,4,68,661,6,0,111,37
13:5:0,0,0,0,0,18,41,8,11,13,0,114,0,11,168,9,67,0,5,57,721,5,0,90,21
13:10:0,0,0,0,0,18,31,6,1,12,0,128,0,11,168,8,74,0,5,57,743,6,0,66,25
13:15:0,0,0,0,0,18,20,3,3,6,0,134,0,11,168,8,84,0,4,57,760,5,0,59,19
13:20:0,0,0,0,0,18,18,0,1,9,0,137,0,11,168,8,86,0,4,57,755,8,0,53,26
13:25:0,0,0,0,0,18,16,5,3,23,0,137,1,11,168,8,96,0,4,58,727,5,0,50,29
13:30:0,0,0,0,0,18,20,5,3,26,0,140,0,10,168,7,117,0,5,59,673,12,4,66,34
13:35:0,0,0,0,0,96,24,7,8,33,0,137,0,9,168,7,133,0,4,61,616,12,6,97,39
13:40:0,0,0,0,0,121,31,11,4,25,0,135,0,9,168,5,179,0,6,58,570,10,5,156,54
13:45:0,0,0,0,0,123,55,18,10,34,0,137,2,9,168,5,240,0,8,29,521,10,3,210,67
13:50:0,0,1,0,0,140,91,24,9,44,0,139,3,9,171,3,308,0,8,26,457,14,3,246,71
13:55:0,2,2,2,1,123,123,22,8,47,0,139,2,9,171,2,385,0,10,23,393,16,2,309,83
14:0:0,12,2,4,1,111,137,22,11,41,0,129,8,6,171,1,457,0,5,18,338,19,4,376,98
14:5:0,212,91,284,187,122,84,7,7,10,0,45,0,3,171,0,225,0,4,16,135,12,0,412,45
14:10:0,297,243,454,316,40,28,3,2,10,0,41,0,2,171,0,205,0,3,10,113,8,1,94,31
14:15:0,302,269,480,355,17,23,4,2,11,0,38,0,2,172,0,201,0,4,3,88,6,0,64,30
14:20:0,302,291,501,378,18,13,2,4,1,0,38,0,0,172,0,182,0,4,1,73,5,0,60,26
14:25:0,301,311,514,405,18,9,2,1,2,0,35,0,0,172,0,161,0,4,0,58,6,0,56,16
14:30:0,301,330,525,423,17,9,4,1,3,0,33,0,0,172,0,152,0,4,0,43,5,1,38,11
14:35:0,301,339,531,441,27,4,2,2,2,0,33,0,0,172,0,141,0,4,0,35,2,0,41,6
14:40:0,301,347,539,454,35,7,1,2,2,0,31,0,0,172,0,122,0,6,0,29,3,0,42,8
14:45:0,301,356,547,464,38,5,5,4,0,0,29,0,0,172,0,113,0,5,0,23,3,0,49,5
14:50:0,298,363,552,473,33,13,2,2,3,0,28,1,0,172,0,109,0,4,0,18,3,2,56,2
14:55:0,286,367,555,479,33,14,5,2,4,0,25,1,0,172,0,111,0,4,0,12,3,0,64,6
15:0:0,180,381,571,483,30,34,21,2,5,1,17,0,0,146,0,107,0,5,0,7,4,2,129,36
15:5:0,23,437,591,488,54,43,23,10,12,169,14,0,0,76,0,51,0,5,0,1,6,0,162,8
15:10:0,2,508,595,486,18,49,13,8,7,131,13,0,1,76,0,85,0,4,0,0,3,0,157,17
15:15:0,2,547,603,488,18,45,74,11,16,0,18,0,2,76,0,101,1,5,0,10,6,8,125,17
15:20:0,92,548,597,481,18,23,24,14,15,0,10,0,0,76,0,102,0,5,0,11,6,34,90,19
15:25:0,113,541,589,481,18,20,10,6,2,0,9,1,0,76,0,95,0,4,0,20,6,44,79,17
15:30:0,124,531,582,479,18,17,9,3,0,0,8,0,0,76,0,77,0,4,0,25,10,11,105,9
15:35:0,134,524,572,465,18,18,15,11,3,0,7,0,0,76,0,123,0,4,0,27,2,1,67,11
15:40:0,140,398,423,347,18,79,148,6,13,0,7,0,0,75,0,132,0,6,0,37,10,4,212,22
15:45:0,176,337,359,298,18,122,80,25,28,0,15,0,1,75,0,132,0,4,0,70,10,1,295,27
15:50:0,206,269,265,241,18,156,123,20,29,0,28,0,1,75,0,130,0,4,0,123,11,0,336,37
15:55:0,234,205,181,162,18,181,136,22,31,0,38,1,2,75,0,145,0,4,0,196,24,11,369,37
16:0:0,246,155,107,89,18,182,119,20,27,0,59,1,5,75,0,128,0,5,0,289,25,30,424,57
