time,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,firstAisle,secondAisle
7:0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:5:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:10:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:15:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:20:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:25:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:30:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:35:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
7:40:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,2
7:45:0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0
7:50:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1
7:55:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0
8:0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,3,7
8:5:0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,9,0
8:10:0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,13,0
8:15:0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,13,0
8:20:0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,13,1
8:25:0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,15,0
8:30:0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,2,10,27,1
8:35:0,0,0,0,0,228,3,3,0,0,0,24,0,0,0,6,1,0,3,0,0,3,15,53,1
8:40:0,0,0,0,0,288,10,22,1,6,0,49,0,0,0,6,46,0,4,0,0,7,11,146,13
8:45:0,0,0,0,0,274,31,32,8,8,0,71,0,1,2,6,131,0,6,0,0,8,10,250,34
8:50:0,0,0,0,0,264,50,48,6,3,0,93,0,4,2,8,230,0,6,0,0,10,9,328,61
8:55:0,0,0,0,0,279,67,35,8,3,0,120,0,8,2,2,341,6,8,0,0,11,11,411,101
9:0:0,0,0,0,0,281,75,35,10,12,0,128,0,6,2,3,461,11,7,0,0,15,22,520,114
9:5:0,0,0,0,0,359,25,4,1,2,0,17,0,2,113,1,91,550,7,0,0,13,8,807,31
9:10:0,0,0,0,0,181,40,7,2,0,0,10,4,2,164,1,97,1290,10,0,0,7,4,314,20
9:15:0,0,0,0,0,147,58,18,3,0,0,9,3,2,177,2,133,1530,8,0,0,4,6,154,18
9:20:0,0,0,0,0,144,86,13,0,3,0,18,4,2,178,4,166,1545,6,0,0,5,2,205,18
9:25:0,2,1,1,0,140,124,11,3,4,0,20,1,2,179,1,215,1555,8,0,0,3,2,233,23
9:30:0,2,2,4,0,166,138,11,1,3,0,20,4,2,179,2,263,1562,5,0,0,5,4,263,26
9:35:0,72,337,148,0,130,30,1,3,1,0,14,0,2,179,0,113,1564,4,0,0,2,1,151,11
9:40:0,107,461,170,0,50,21,3,8,2,0,16,0,3,179,0,116,1500,6,0,1,3,7,109,10
9:45:0,124,591,178,0,36,26,9,46,3,0,15,0,3,179,0,108,1104,8,0,3,3,14,313,16
9:50:0,125,871,182,0,31,21,10,16,9,0,16,0,1,179,0,96,1056,5,0,3,4,23,117,15
9:55:0,125,914,182,0,20,7,1,0,1,0,14,0,1,179,0,81,1137,5,0,3,2,25,52,8
10:0:0,125,915,181,0,20,3,1,0,0,0,13,0,1,179,0,76,1152,5,0,3,2,13,36,7
10:5:0,125,913,184,0,20,4,0,1,0,0,13,0,1,179,0,66,1162,5,0,3,2,0,37,4
10:10:0,125,914,183,0,20,11,2,0,0,0,13,0,1,179,0,57,1169,5,0,4,2,0,28,6
10:15:0,125,877,183,0,20,17,4,0,1,0,15,0,1,179,0,49,1175,5,0,4,3,0,56,6
10:20:0,124,816,183,0,20,28,7,5,1,0,11,0,1,179,2,47,1178,4,0,5,6,3,100,6
10:25:0,113,761,181,0,30,41,20,10,6,0,17,2,2,179,2,61,1124,4,0,9,7,20,146,8
10:30:0,76,715,182,0,26,53,32,85,13,0,23,4,5,161,2,116,766,8,0,22,13,38,346,45
10:35:0,136,685,183,0,28,59,44,143,19,61,26,148,7,125,2,120,38,6,0,33,16,28,770,27
10:40:0,414,631,182,0,25,92,19,21,21,127,30,140,8,125,2,147,12,5,0,50,9,40,562,21
